"X","Country","Region","Freedom","Year","Rank","Score","GDP","Life.Expectancy","Corruption"
112,"Albania",NA,0.419,2018,112,4.586,0.916,0.79,17
113,"Sierra Leone",NA,0.355,2018,113,4.571,0.256,0,30
114,"Congo (Brazzaville)",NA,0.514,2018,114,4.559,0.682,0.343,45
115,"Bangladesh",NA,0.58,2018,115,4.5,0.532,0.579,80
116,"Sri Lanka",NA,0.585,2018,116,4.471,0.918,0.672,27
117,"Iraq",NA,0.304,2018,117,4.456,1.01,0.536,56
118,"Mali",NA,0.367,2018,118,4.447,0.37,0.152,33
119,"Namibia",NA,0.519,2018,119,4.441,0.874,0.365,38
120,"Cambodia",NA,0.696,2018,120,4.433,0.549,0.457,39
121,"Burkina Faso",NA,0.312,2018,121,4.424,0.314,0.254,72
122,"Egypt",NA,0.312,2018,122,4.419,0.885,0.553,64
123,"Mozambique",NA,0.531,2018,123,4.417,0.198,0.173,86
124,"Kenya",NA,0.504,2018,124,4.41,0.493,0.454,32
125,"Zambia",NA,0.503,2018,125,4.377,0.562,0.295,50
126,"Mauritania",NA,0.129,2018,126,4.356,0.557,0.292,54
127,"Ethiopia",NA,0.452,2018,127,4.35,0.308,0.391,81
128,"Georgia",NA,0.375,2018,128,4.34,0.853,0.643,91
129,"Armenia",NA,0.26,2018,129,4.321,0.816,0.666,13
130,"Myanmar",NA,0.58,2018,130,4.308,0.682,0.429,90
131,"Chad",NA,0.189,2018,131,4.301,0.358,0.053,35
132,"Congo (Kinshasa)",NA,0.312,2018,132,4.245,0.069,0.204,29
133,"India",NA,0.539,2018,133,4.19,0.721,0.485,54
134,"Niger",NA,0.39,2018,134,4.166,0.131,0.221,58
135,"Uganda",NA,0.45,2018,135,4.161,0.322,0.237,36
136,"Benin",NA,0.44,2018,136,4.141,0.378,0.24,41
137,"Sudan",NA,0.016,2018,137,4.139,0.605,0.312,50
138,"Ukraine",NA,0.163,2018,138,4.103,0.793,0.609,5
139,"Togo",NA,0.434,2018,139,3.999,0.259,0.253,59
140,"Guinea",NA,0.394,2018,140,3.964,0.344,0.211,55
141,"Lesotho",NA,0.423,2018,141,3.808,0.472,0.079,66
142,"Angola",NA,0,2018,142,3.795,0.73,0.269,36
143,"Madagascar",NA,0.221,2018,143,3.774,0.262,0.402,26
144,"Zimbabwe",NA,0.406,2018,144,3.692,0.357,0.248,58
145,"Afghanistan",NA,0.085,2018,145,3.632,0.332,0.255,20
146,"Botswana",NA,0.557,2018,146,3.59,1.017,0.417,53
147,"Malawi",NA,0.531,2018,147,3.587,0.186,0.306,48
148,"Haiti",NA,0.025,2018,148,3.582,0.315,0.289,61
149,"Liberia",NA,0.419,2018,149,3.495,0.076,0.267,15
150,"Syria",NA,0.088,2018,150,3.462,0.689,0.539,80
151,"Rwanda",NA,0.636,2018,151,3.408,0.332,0.4,109
152,"Yemen",NA,0.244,2018,152,3.355,0.442,0.343,38
153,"Tanzania",NA,0.481,2018,153,3.303,0.455,0.381,57
154,"South Sudan",NA,0.112,2018,154,3.254,0.337,0.177,63
155,"Central African Republic",NA,0.305,2018,155,3.083,0.024,0.01,22
156,"Burundi",NA,0.065,2018,156,2.905,0.091,0.145,44
1,"Finland",NA,0.596,2019,1,7.769,1.34,0.986,0.393
2,"Denmark",NA,0.592,2019,2,7.6,1.383,0.996,0.41
3,"Norway",NA,0.603,2019,3,7.554,1.488,1.028,0.341
4,"Iceland",NA,0.591,2019,4,7.494,1.38,1.026,0.118
5,"Netherlands",NA,0.557,2019,5,7.488,1.396,0.999,0.298
6,"Switzerland",NA,0.572,2019,6,7.48,1.452,1.052,0.343
7,"Sweden",NA,0.574,2019,7,7.343,1.387,1.009,0.373
8,"New Zealand",NA,0.585,2019,8,7.307,1.303,1.026,0.38
9,"Canada",NA,0.584,2019,9,7.278,1.365,1.039,0.308
10,"Austria",NA,0.532,2019,10,7.246,1.376,1.016,0.226
11,"Australia",NA,0.557,2019,11,7.228,1.372,1.036,0.29
12,"Costa Rica",NA,0.558,2019,12,7.167,1.034,0.963,0.093
13,"Israel",NA,0.371,2019,13,7.139,1.276,1.029,0.082
14,"Luxembourg",NA,0.526,2019,14,7.09,1.609,1.012,0.316
15,"United Kingdom",NA,0.45,2019,15,7.054,1.333,0.996,0.278
16,"Ireland",NA,0.516,2019,16,7.021,1.499,0.999,0.31
17,"Germany",NA,0.495,2019,17,6.985,1.373,0.987,0.265
18,"Belgium",NA,0.473,2019,18,6.923,1.356,0.986,0.21
19,"United States",NA,0.454,2019,19,6.892,1.433,0.874,0.128
20,"Czech Republic",NA,0.457,2019,20,6.852,1.269,0.92,0.036
21,"United Arab Emirates",NA,0.598,2019,21,6.825,1.503,0.825,0.182
22,"Malta",NA,0.564,2019,22,6.726,1.3,0.999,0.151
23,"Mexico",NA,0.433,2019,23,6.595,1.07,0.861,0.073
24,"France",NA,0.436,2019,24,6.592,1.324,1.045,0.183
25,"Taiwan",NA,0.351,2019,25,6.446,1.368,0.914,0.097
26,"Chile",NA,0.357,2019,26,6.444,1.159,0.92,0.056
27,"Guatemala",NA,0.535,2019,27,6.436,0.8,0.746,0.078
28,"Saudi Arabia",NA,0.439,2019,28,6.375,1.403,0.795,0.132
29,"Qatar",NA,0.555,2019,29,6.374,1.684,0.871,0.167
30,"Spain",NA,0.362,2019,30,6.354,1.286,1.062,0.079
31,"Panama",NA,0.516,2019,31,6.321,1.149,0.91,0.054
32,"Brazil",NA,0.39,2019,32,6.3,1.004,0.802,0.086
33,"Uruguay",NA,0.523,2019,33,6.293,1.124,0.891,0.15
34,"Singapore",NA,0.556,2019,34,6.262,1.572,1.141,0.453
35,"El Salvador",NA,0.43,2019,35,6.253,0.794,0.789,0.074
36,"Italy",NA,0.231,2019,36,6.223,1.294,1.039,0.03
37,"Bahrain",NA,0.536,2019,37,6.199,1.362,0.871,0.11
38,"Slovakia",NA,0.334,2019,38,6.198,1.246,0.881,0.014
39,"Trinidad & Tobago",NA,0.489,2019,39,6.192,1.231,0.713,0.016
40,"Poland",NA,0.483,2019,40,6.182,1.206,0.884,0.05
41,"Uzbekistan",NA,0.631,2019,41,6.174,0.745,0.756,0.24
42,"Lithuania",NA,0.291,2019,42,6.149,1.238,0.818,0.042
43,"Colombia",NA,0.47,2019,43,6.125,0.985,0.841,0.034
44,"Slovenia",NA,0.564,2019,44,6.118,1.258,0.953,0.057
45,"Nicaragua",NA,0.435,2019,45,6.105,0.694,0.835,0.127
46,"Kosovo",NA,0.489,2019,46,6.1,0.882,0.758,0.006
47,"Argentina",NA,0.471,2019,47,6.086,1.092,0.881,0.05
48,"Romania",NA,0.462,2019,48,6.07,1.162,0.825,0.005
49,"Cyprus",NA,0.406,2019,49,6.046,1.263,1.042,0.041
50,"Ecuador",NA,0.498,2019,50,6.028,0.912,0.868,0.087
51,"Kuwait",NA,0.493,2019,51,6.021,1.5,0.808,0.097
52,"Thailand",NA,0.557,2019,52,6.008,1.05,0.828,0.028
53,"Latvia",NA,0.264,2019,53,5.94,1.187,0.812,0.064
54,"South Korea",NA,0.159,2019,54,5.895,1.301,1.036,0.056
55,"Estonia",NA,0.495,2019,55,5.893,1.237,0.874,0.161
56,"Jamaica",NA,0.49,2019,56,5.89,0.831,0.831,0.028
57,"Mauritius",NA,0.498,2019,57,5.888,1.12,0.798,0.06
58,"Japan",NA,0.445,2019,58,5.886,1.327,1.088,0.14
59,"Honduras",NA,0.507,2019,59,5.86,0.642,0.828,0.078
60,"Kazakhstan",NA,0.41,2019,60,5.809,1.173,0.729,0.096
61,"Bolivia",NA,0.511,2019,61,5.779,0.776,0.706,0.064
62,"Hungary",NA,0.199,2019,62,5.758,1.201,0.828,0.02
63,"Paraguay",NA,0.514,2019,63,5.743,0.855,0.777,0.08
64,"Northern Cyprus",NA,0.417,2019,64,5.718,1.263,1.042,0.162
65,"Peru",NA,0.455,2019,65,5.697,0.96,0.854,0.027
66,"Portugal",NA,0.508,2019,66,5.693,1.221,0.999,0.025
67,"Pakistan",NA,0.313,2019,67,5.653,0.677,0.535,0.098
68,"Russia",NA,0.334,2019,68,5.648,1.183,0.726,0.031
69,"Philippines",NA,0.558,2019,69,5.631,0.807,0.657,0.107
70,"Serbia",NA,0.282,2019,70,5.603,1.004,0.854,0.039
71,"Moldova",NA,0.245,2019,71,5.529,0.685,0.739,0
72,"Libya",NA,0.416,2019,72,5.525,1.044,0.673,0.152
73,"Montenegro",NA,0.197,2019,73,5.523,1.051,0.871,0.08
74,"Tajikistan",NA,0.389,2019,74,5.467,0.493,0.718,0.144
75,"Croatia",NA,0.296,2019,75,5.432,1.155,0.914,0.022
76,"Hong Kong",NA,0.44,2019,76,5.43,1.438,1.122,0.287
77,"Dominican Republic",NA,0.497,2019,77,5.425,1.015,0.779,0.101
78,"Bosnia and Herzegovina",NA,0.212,2019,78,5.386,0.945,0.845,0.006
79,"Turkey",NA,0.195,2019,79,5.373,1.183,0.808,0.106
80,"Malaysia",NA,0.508,2019,80,5.339,1.221,0.828,0.024
81,"Belarus",NA,0.235,2019,81,5.323,1.067,0.789,0.142
82,"Greece",NA,0.067,2019,82,5.287,1.181,0.999,0.034
83,"Mongolia",NA,0.317,2019,83,5.285,0.948,0.667,0.038
84,"North Macedonia",NA,0.345,2019,84,5.274,0.983,0.838,0.034
85,"Nigeria",NA,0.426,2019,85,5.265,0.696,0.245,0.041
86,"Kyrgyzstan",NA,0.508,2019,86,5.261,0.551,0.723,0.023
87,"Turkmenistan",NA,0.394,2019,87,5.247,1.052,0.657,0.028
88,"Algeria",NA,0.086,2019,88,5.211,1.002,0.785,0.114
89,"Morocco",NA,0.418,2019,89,5.208,0.801,0.782,0.076
90,"Azerbaijan",NA,0.351,2019,90,5.208,1.043,0.769,0.182
91,"Lebanon",NA,0.216,2019,91,5.197,0.987,0.815,0.027
92,"Indonesia",NA,0.491,2019,92,5.192,0.931,0.66,0.028
93,"China",NA,0.521,2019,93,5.191,1.029,0.893,0.1
94,"Vietnam",NA,0.543,2019,94,5.175,0.741,0.851,0.073
95,"Bhutan",NA,0.457,2019,95,5.082,0.813,0.604,0.167
96,"Cameroon",NA,0.381,2019,96,5.044,0.549,0.331,0.037
97,"Bulgaria",NA,0.311,2019,97,5.011,1.092,0.815,0.004
98,"Ghana",NA,0.381,2019,98,4.996,0.611,0.486,0.04
99,"Ivory Coast",NA,0.352,2019,99,4.944,0.569,0.232,0.09
100,"Nepal",NA,0.439,2019,100,4.913,0.446,0.677,0.089
101,"Jordan",NA,0.383,2019,101,4.906,0.837,0.815,0.13
102,"Benin",NA,0.349,2019,102,4.883,0.393,0.397,0.082
103,"Congo (Brazzaville)",NA,0.372,2019,103,4.812,0.673,0.508,0.093
104,"Gabon",NA,0.295,2019,104,4.799,1.057,0.571,0.055
105,"Laos",NA,0.547,2019,105,4.796,0.764,0.551,0.164
106,"South Africa",NA,0.389,2019,106,4.722,0.96,0.469,0.055
107,"Albania",NA,0.383,2019,107,4.719,0.947,0.874,0.027
108,"Venezuela",NA,0.154,2019,108,4.707,0.96,0.805,0.047
109,"Cambodia",NA,0.609,2019,109,4.7,0.574,0.637,0.062
110,"Palestinian Territories",NA,0.225,2019,110,4.696,0.657,0.672,0.066
111,"Senegal",NA,0.292,2019,111,4.681,0.45,0.571,0.072
112,"Somalia",NA,0.559,2019,112,4.668,0,0.268,0.27
113,"Namibia",NA,0.401,2019,113,4.639,0.879,0.477,0.056
114,"Niger",NA,0.318,2019,114,4.628,0.138,0.366,0.102
115,"Burkina Faso",NA,0.255,2019,115,4.587,0.331,0.38,0.113
116,"Armenia",NA,0.283,2019,116,4.559,0.85,0.815,0.064
117,"Iran",NA,0.305,2019,117,4.548,1.1,0.785,0.125
118,"Guinea",NA,0.332,2019,118,4.534,0.38,0.375,0.086
119,"Georgia",NA,0.346,2019,119,4.519,0.886,0.752,0.164
120,"Gambia",NA,0.382,2019,120,4.516,0.308,0.428,0.167
121,"Kenya",NA,0.431,2019,121,4.509,0.512,0.581,0.053
122,"Mauritania",NA,0.066,2019,122,4.49,0.57,0.489,0.088
123,"Mozambique",NA,0.494,2019,123,4.466,0.204,0.39,0.138
124,"Tunisia",NA,0.167,2019,124,4.461,0.921,0.815,0.055
125,"Bangladesh",NA,0.527,2019,125,4.456,0.562,0.723,0.143
126,"Iraq",NA,0.241,2019,126,4.437,1.043,0.574,0.089
127,"Congo (Kinshasa)",NA,0.269,2019,127,4.418,0.094,0.357,0.053
128,"Mali",NA,0.327,2019,128,4.39,0.385,0.308,0.052
129,"Sierra Leone",NA,0.309,2019,129,4.374,0.268,0.242,0.045
130,"Sri Lanka",NA,0.47,2019,130,4.366,0.949,0.831,0.047
131,"Myanmar",NA,0.525,2019,131,4.36,0.71,0.555,0.172
132,"Chad",NA,0.174,2019,132,4.35,0.35,0.192,0.078
133,"Ukraine",NA,0.178,2019,133,4.332,0.82,0.739,0.01
134,"Ethiopia",NA,0.344,2019,134,4.286,0.336,0.532,0.1
135,"Swaziland",NA,0.313,2019,135,4.212,0.811,0,0.135
136,"Uganda",NA,0.356,2019,136,4.189,0.332,0.443,0.06
137,"Egypt",NA,0.241,2019,137,4.166,0.913,0.644,0.067
138,"Zambia",NA,0.431,2019,138,4.107,0.578,0.426,0.087
139,"Togo",NA,0.293,2019,139,4.085,0.275,0.41,0.085
140,"India",NA,0.498,2019,140,4.015,0.755,0.588,0.085
141,"Liberia",NA,0.37,2019,141,3.975,0.073,0.443,0.033
142,"Comoros",NA,0.142,2019,142,3.973,0.274,0.505,0.078
143,"Madagascar",NA,0.148,2019,143,3.933,0.274,0.555,0.041
144,"Lesotho",NA,0.359,2019,144,3.802,0.489,0.168,0.093
145,"Burundi",NA,0.22,2019,145,3.775,0.046,0.38,0.18
146,"Zimbabwe",NA,0.361,2019,146,3.663,0.366,0.433,0.089
147,"Haiti",NA,0.026,2019,147,3.597,0.323,0.449,0.11
148,"Botswana",NA,0.455,2019,148,3.488,1.041,0.538,0.1
149,"Syria",NA,0.013,2019,149,3.462,0.619,0.44,0.141
150,"Malawi",NA,0.443,2019,150,3.41,0.191,0.495,0.089
151,"Yemen",NA,0.143,2019,151,3.38,0.287,0.463,0.077
152,"Rwanda",NA,0.555,2019,152,3.334,0.359,0.614,0.411
153,"Tanzania",NA,0.417,2019,153,3.231,0.476,0.499,0.147
154,"Afghanistan",NA,0,2019,154,3.203,0.35,0.361,0.025
155,"Central African Republic",NA,0.225,2019,155,3.083,0.026,0.105,0.035
156,"South Sudan",NA,0.01,2019,156,2.853,0.306,0.295,0.091
1,"Finland","Western Europe",0.949172199,2020,1,7.808700085,10.63926697,71.9008255,0.195444584
2,"Denmark","Western Europe",0.951444268,2020,2,7.645599842,10.77400112,72.40250397,0.168489456
3,"Switzerland","Western Europe",0.921336651,2020,3,7.559899807,10.97993279,74.10244751,0.303728431
4,"Iceland","Western Europe",0.948891878,2020,4,7.504499912,10.77255917,73,0.711709738
5,"Norway","Western Europe",0.955750287,2020,5,7.487999916,11.08780384,73.20078278,0.263218194
6,"Netherlands","Western Europe",0.908547819,2020,6,7.448900223,10.81271172,72.30091858,0.364717126
7,"Sweden","Western Europe",0.939144194,2020,7,7.353499889,10.75879383,72.60076904,0.250880182
8,"New Zealand","North America and ANZ",0.936217487,2020,8,7.299600124,10.50094318,73.20262909,0.22113885
9,"Austria","Western Europe",0.899989486,2020,9,7.294199944,10.7428236,73.00250244,0.499954879
10,"Luxembourg","Western Europe",0.90563643,2020,10,7.237500191,11.45068073,72.59999847,0.367084295
11,"Canada","North America and ANZ",0.933913231,2020,11,7.23210001,10.69236851,73.60160065,0.390843362
12,"Australia","North America and ANZ",0.915431738,2020,12,7.222799778,10.72059631,73.60453796,0.41516912
13,"United Kingdom","Western Europe",0.834743679,2020,13,7.164500237,10.60013485,72.30160522,0.435915917
14,"Israel","Middle East and North Africa",0.747580588,2020,14,7.128600121,10.41752529,73.20025635,0.78085506
15,"Costa Rica","Latin America and Caribbean",0.934738934,2020,15,7.121399879,9.658156395,71.29985046,0.786332428
16,"Ireland","Western Europe",0.886982977,2020,16,7.093699932,11.16097832,72.30078888,0.357184172
17,"Germany","Western Europe",0.867371082,2020,17,7.075799942,10.7328186,72.20201874,0.456422031
18,"United States","North America and ANZ",0.842619538,2020,18,6.939599991,10.92576885,68.29949951,0.699715316
19,"Czech Republic","Central and Eastern Europe",0.818537354,2020,19,6.910900116,10.40416336,70.04793549,0.85844624
20,"Belgium","Western Europe",0.813582063,2020,20,6.863500118,10.6736393,72.00164795,0.612297952
21,"United Arab Emirates","Middle East and North Africa",0.941345513,2020,21,6.790800095,11.1099987,67.08278656,0.594502211
22,"Malta","Western Europe",0.924911439,2020,22,6.772799969,10.53383827,72.19999695,0.658547282
23,"France","Western Europe",0.825467646,2020,23,6.663799763,10.58422279,73.80193329,0.583521128
24,"Mexico","Latin America and Caribbean",0.858709276,2020,24,6.465000153,9.797797203,68.29902649,0.806821585
25,"Taiwan Province of China","East Asia",0.77153033,2020,25,6.45539999,10.77568531,69.59999847,0.73188293
26,"Uruguay","Latin America and Caribbean",0.892395437,2020,26,6.440100193,9.948192596,69.00254822,0.635994136
27,"Saudi Arabia","Middle East and North Africa",0.854191244,2020,27,6.406499863,10.79781246,66.30514526,0.682619512
28,"Spain","Western Europe",0.751989543,2020,28,6.400899887,10.46292686,74.40270996,0.765859902
29,"Guatemala","Latin America and Caribbean",0.908147573,2020,29,6.398900032,8.924805641,64.8089447,0.783237457
30,"Italy","Western Europe",0.66465199,2020,30,6.38740015,10.48183632,73.60168457,0.873404682
31,"Singapore","Southeast Asia",0.926645339,2020,31,6.377099991,11.39552116,76.80458069,0.109784193
32,"Brazil","Latin America and Caribbean",0.799804807,2020,32,6.375599861,9.56643486,66.48016357,0.770601273
33,"Slovenia","Central and Eastern Europe",0.936142623,2020,33,6.363399982,10.39232254,71.1029892,0.817071021
34,"El Salvador","Latin America and Caribbean",0.833805263,2020,34,6.34829998,8.909075737,66.10826111,0.754319906
35,"Kosovo","Central and Eastern Europe",0.861535907,2020,35,6.325200081,9.204429626,63.88555527,0.922328293
36,"Panama","Latin America and Caribbean",0.880366504,2020,36,6.304800034,10.03423405,69.60301208,0.851588905
37,"Slovakia","Central and Eastern Europe",0.749952674,2020,37,6.280600071,10.34774971,68.90634155,0.918096125
38,"Uzbekistan","Commonwealth of Independent States",0.974998116,2020,38,6.257599831,8.740371704,65.10757446,0.501497388
39,"Chile","Latin America and Caribbean",0.744896293,2020,39,6.228499889,10.0320549,69.90061951,0.838239431
40,"Bahrain","Middle East and North Africa",0.905855775,2020,40,6.227300167,10.67638016,68.5,0.7393471
41,"Lithuania","Central and Eastern Europe",0.747381449,2020,41,6.215499878,10.34362602,67.29407501,0.809583843
42,"Trinidad and Tobago","Latin America and Caribbean",0.857907116,2020,42,6.191899776,10.26000214,63.5,0.912230611
43,"Poland","Central and Eastern Europe",0.862055779,2020,43,6.186299801,10.26512432,69.31113434,0.686927021
44,"Colombia","Latin America and Caribbean",0.836179912,2020,44,6.163400173,9.500369072,67.69958496,0.86457181
45,"Cyprus","Western Europe",0.779858291,2020,45,6.15899992,10.40570259,73.70222473,0.856271744
46,"Nicaragua","Latin America and Caribbean",0.863902867,2020,46,6.13710022,8.493160248,67.50717926,0.665950119
47,"Romania","Central and Eastern Europe",0.842823207,2020,47,6.123700142,10.107584,67.20723724,0.934300244
48,"Kuwait","Middle East and North Africa",0.872366488,2020,48,6.102099895,11.08982468,66.76764679,0.760849059
49,"Mauritius","Sub-Saharan Africa",0.889534533,2020,49,6.101299763,9.956786156,66.40434265,0.805343091
50,"Kazakhstan","Commonwealth of Independent States",0.811601937,2020,50,6.057899952,10.11465836,64.60996246,0.764490843
51,"Estonia","Central and Eastern Europe",0.87770915,2020,51,6.021800041,10.34001732,68.60495758,0.623073816
52,"Philippines","Southeast Asia",0.915463448,2020,52,6.006000042,8.993545532,61.92676163,0.733634114
53,"Hungary","Central and Eastern Europe",0.718964577,2020,53,6.000400066,10.24924374,67.60997009,0.892916501
54,"Thailand","Southeast Asia",0.905063033,2020,54,5.998799801,9.741791725,67.25059509,0.886272311
55,"Argentina","Latin America and Caribbean",0.831132412,2020,55,5.974699974,9.810955048,68.80380249,0.842009842
56,"Honduras","Latin America and Caribbean",0.870603263,2020,56,5.953199863,8.424534798,67.19876862,0.801131904
57,"Latvia","Central and Eastern Europe",0.671237648,2020,57,5.949999809,10.17531967,66.8074646,0.795580089
58,"Ecuador","Latin America and Caribbean",0.859828949,2020,58,5.925199986,9.246058464,68.50003815,0.801215112
59,"Portugal","Western Europe",0.888747811,2020,59,5.910900116,10.26374245,72.40202332,0.892629504
60,"Jamaica","Latin America and Caribbean",0.858068526,2020,60,5.889800072,9.006250381,67.09999847,0.888890028
61,"South Korea","East Asia",0.612965107,2020,61,5.872399807,10.51056671,73.6027298,0.789067447
62,"Japan","East Asia",0.809961379,2020,62,5.870800018,10.57968903,75.00096893,0.654558063
63,"Peru","Latin America and Caribbean",0.824766099,2020,63,5.796800137,9.456313133,68.10023499,0.893714964
64,"Serbia","Central and Eastern Europe",0.726495862,2020,64,5.77820015,9.680980682,68.21020508,0.843509018
65,"Bolivia","Latin America and Caribbean",0.875873327,2020,65,5.747499943,8.851115227,63.6004715,0.822606206
66,"Pakistan","South Asia",0.734833717,2020,66,5.69329977,8.482727051,58.25313568,0.745705426
67,"Paraguay","Latin America and Caribbean",0.885923445,2020,67,5.692100048,9.389982224,65.63993835,0.834788501
68,"Dominican Republic","Latin America and Caribbean",0.866202772,2020,68,5.689199924,9.664880753,65.80748749,0.755999923
69,"Bosnia and Herzegovina","Central and Eastern Europe",0.651352704,2020,69,5.674099922,9.455817223,67.80813599,0.933769107
70,"Moldova","Commonwealth of Independent States",0.721609175,2020,70,5.607500076,8.776714325,65.01301575,0.913314283
71,"Tajikistan","Commonwealth of Independent States",0.831383407,2020,71,5.555699825,8.024810791,64.10459137,0.592076063
72,"Montenegro","Central and Eastern Europe",0.649565637,2020,72,5.54610014,9.751860619,68.50534821,0.783121586
73,"Russia","Commonwealth of Independent States",0.729892612,2020,73,5.546000004,10.12887192,64.10045624,0.864802599
74,"Kyrgyzstan","Commonwealth of Independent States",0.909374893,2020,74,5.541500092,8.148405075,64.10601044,0.888396084
75,"Belarus","Commonwealth of Independent States",0.639163077,2020,75,5.539899826,9.779945374,66.10433197,0.63571167
76,"North Cyprus","Western Europe",0.79529351,2020,76,5.53550005,10.40570259,73.70222473,0.62611568
77,"Greece","Western Europe",0.541345119,2020,77,5.514999866,10.13232613,72.40525818,0.859931409
78,"Hong Kong S.A.R. of China","East Asia",0.779833794,2020,78,5.510399818,10.9346714,76.77170563,0.420607209
79,"Croatia","Central and Eastern Europe",0.714838803,2020,79,5.504700184,10.07087517,70.21490479,0.916495264
80,"Libya","Middle East and North Africa",0.773157001,2020,80,5.488800049,9.789815903,62.29999924,0.668779135
81,"Mongolia","East Asia",0.693351328,2020,81,5.456200123,9.412186623,62.30448532,0.863511205
82,"Malaysia","Southeast Asia",0.894626856,2020,82,5.384300232,10.26251888,67.10215759,0.839302301
83,"Vietnam","Southeast Asia",0.939592957,2020,83,5.353499889,8.809545517,67.9527359,0.79642123
84,"Indonesia","Southeast Asia",0.870614409,2020,84,5.285600185,9.36975193,62.15584946,0.876296401
85,"Ivory Coast","Sub-Saharan Africa",0.727909327,2020,85,5.233300209,8.225561142,49.50377274,0.790771961
86,"Benin","Sub-Saharan Africa",0.735182583,2020,86,5.21600008,7.674319744,54.31246567,0.740532577
87,"Maldives","South Asia",0.853962779,2020,87,5.197599888,9.518632889,70.59999847,0.824211061
88,"Congo (Brazzaville)","Sub-Saharan Africa",0.719058514,2020,88,5.194399834,8.536987305,57.92448044,0.751779079
89,"Azerbaijan","Commonwealth of Independent States",0.786824107,2020,89,5.164800167,9.687726974,65.50839996,0.55253756
90,"Macedonia","Central and Eastern Europe",0.738840938,2020,90,5.159800053,9.510591507,67.50442505,0.897490501
91,"Ghana","Sub-Saharan Africa",0.794796526,2020,91,5.147999763,8.350645065,57.20398712,0.847964764
92,"Nepal","South Asia",0.797565043,2020,92,5.137199879,7.925357342,63.77917862,0.738099158
93,"Turkey","Middle East and North Africa",0.608830452,2020,93,5.131800175,10.12941933,66.90281677,0.748197377
94,"China","East Asia",0.898517907,2020,94,5.123899937,9.688568115,69.2891922,0.7539711
95,"Turkmenistan","Commonwealth of Independent States",0.826457024,2020,95,5.119100094,9.74803257,62.21170807,0.883691847
96,"Bulgaria","Central and Eastern Europe",0.745178163,2020,96,5.101500034,9.869318962,66.80397797,0.935585141
97,"Morocco","Middle East and North Africa",0.772072434,2020,97,5.094799995,8.940313339,65.89624023,0.815724611
98,"Cameroon","Sub-Saharan Africa",0.763051808,2020,98,5.084899902,8.118647575,52.7049408,0.851336598
99,"Venezuela","Latin America and Caribbean",0.62327832,2020,99,5.053199768,8.977793694,66.50534058,0.837038398
100,"Algeria","Middle East and North Africa",0.466610909,2020,100,5.005099773,9.537964821,65.90517426,0.735485137
101,"Senegal","Sub-Saharan Africa",0.690596163,2020,101,4.980800152,8.118982315,59.59915161,0.808785141
102,"Guinea","Sub-Saharan Africa",0.706846774,2020,102,4.949299812,7.750990391,54.46780014,0.761794448
103,"Niger","Sub-Saharan Africa",0.759772122,2020,103,4.909599781,6.842166901,53.50009537,0.722530186
104,"Laos","Southeast Asia",0.907213569,2020,104,4.888599873,8.79858017,58.70992279,0.634679317
105,"Albania","Central and Eastern Europe",0.781994224,2020,105,4.882699966,9.417930603,68.70813751,0.896303713
106,"Cambodia","Southeast Asia",0.959704638,2020,106,4.848400116,8.249890327,61.52996826,0.822769046
107,"Bangladesh","South Asia",0.90062499,2020,107,4.832799911,8.287063599,64.50306702,0.661843538
108,"Gabon","Sub-Saharan Africa",0.704829216,2020,108,4.829299927,9.680537224,59.71533966,0.849150956
109,"South Africa","Sub-Saharan Africa",0.759330094,2020,109,4.814099789,9.403370857,56.50601196,0.843423843
110,"Iraq","Middle East and North Africa",0.633182645,2020,110,4.784800053,9.661095619,59.90354919,0.82226181
111,"Lebanon","Middle East and North Africa",0.551357508,2020,111,4.771500111,9.3617239,67.10658264,0.90225625
112,"Burkina Faso","Sub-Saharan Africa",0.665563583,2020,112,4.768700123,7.46854496,53.88945389,0.739795029
113,"Gambia","Sub-Saharan Africa",0.733163178,2020,113,4.750599861,7.321814537,55.0120163,0.690717816
114,"Mali","Sub-Saharan Africa",0.71156615,2020,114,4.729300022,7.629852295,51.72698212,0.839328408
115,"Nigeria","Sub-Saharan Africa",0.759578407,2020,115,4.724100113,8.57662487,49.86190796,0.861874342
116,"Armenia","Commonwealth of Independent States",0.712017834,2020,116,4.676799774,9.100476265,66.75065613,0.773544788
117,"Georgia","Commonwealth of Independent States",0.801641524,2020,117,4.672599792,9.226100922,64.49520874,0.665944695
118,"Iran","Middle East and North Africa",0.647873282,2020,118,4.672399998,9.813719749,66.00614929,0.714635968
119,"Jordan","Middle East and North Africa",0.75104779,2020,119,4.633399963,9.025999069,66.79975128,0.700344324
120,"Mozambique","Sub-Saharan Africa",0.864451885,2020,120,4.623600006,7.069345951,54.20582199,0.683019102
121,"Kenya","Sub-Saharan Africa",0.829747558,2020,121,4.583000183,8.02977562,60.09693146,0.831499159
122,"Namibia","Sub-Saharan Africa",0.767520964,2020,122,4.571100235,9.203141212,56.50148773,0.851449788
123,"Ukraine","Commonwealth of Independent States",0.663081884,2020,123,4.56069994,9.010690689,64.60678101,0.920636714
124,"Liberia","Sub-Saharan Africa",0.735268712,2020,124,4.557899952,7.054380417,56.09631348,0.856375933
125,"Palestinian Territories","Middle East and North Africa",0.645791829,2020,125,4.552800179,8.389223099,62.25,0.824199975
